Naive_Resting_Donor1	Th17_Resting_Donor1	Th2_Resting_Donor1	TEM_act_Resting_Donor1	Th1_Resting_Donor1	TCM_Resting_Donor1	TEM_act2_Resting_Donor1	Treg_Resting_Donor1	TCM_2_Donor1	TCM/TEM_2_Donor1	Th17_2_Donor1	Treg_2_Donor1	Naive_2_Donor1	TEM_act2_2_Donor1	Th1_2_Donor1	Th2_2_Donor1	TCM_5_Donor1	TCM/TEM_5_Donor1	Treg_5_Donor1	Th1_5_Donor1	Naive_5_Donor1	Th17_5_Donor1	TEM_act_5_Donor1	TEM_act2_5_Donor1	Th2_5_Donor1	Th1_15_Donor1	TCM_15_Donor1	TCM/TEM_15_Donor1	Th2_15_Donor1	TEM_act2_15_Donor1	Th17_15_Donor1	Naive_15_Donor1	Treg_15_Donor1	TEM_act_15_Donor1	Th1_Resting_Donor2	Naive_Resting_Donor2	TEM_act2_Resting_Donor2	TEM_act_Resting_Donor2	TCM_Resting_Donor2	Th17_Resting_Donor2	Th2_Resting_Donor2	Treg_Resting_Donor2	TCM/TEM_2_Donor2	TCM_2_Donor2	Naive_2_Donor2	Treg_2_Donor2	TEM_act2_2_Donor2	Th17_2_Donor2	Th1_2_Donor2	Th2_2_Donor2	TEM_act_2_Donor2	TCM_5_Donor2	Treg_5_Donor2	Naive_5_Donor2	Th17_5_Donor2	TCM/TEM_5_Donor2	TEM_act2_5_Donor2	Th1_5_Donor2	Th2_5_Donor2	TEM_act_5_Donor2	TCM_15_Donor2	Th1_15_Donor2	TCM/TEM_15_Donor2	Naive_15_Donor2	TEM_act_15_Donor2	TEM_act2_15_Donor2	Treg_15_Donor2	Th2_15_Donor2	Th17_15_Donor2	Th1_Resting_Donor3	Naive_Resting_Donor3	Treg_Resting_Donor3	TCM_Resting_Donor3	Th17_Resting_Donor3	Th2_Resting_Donor3	TEM_act2_Resting_Donor3	TEM_act_Resting_Donor3	TCM_2_Donor3	Naive_2_Donor3	TCM/TEM_2_Donor3	Th1_2_Donor3	Treg_2_Donor3	TCM_5_Donor3	Th1_5_Donor3	TCM/TEM_5_Donor3	Naive_5_Donor3	TEM_act_5_Donor3	Th17_5_Donor3	Th2_5_Donor3	Treg_5_Donor3	TEM_act2_5_Donor3	TCM_15_Donor3	TCM/TEM_15_Donor3	Th17_15_Donor3	Th2_15_Donor3	Th1_15_Donor3	Naive_15_Donor3	TEM_act2_15_Donor3	Treg_15_Donor3	TEM_act_15_Donor3	Th17_Resting_Donor4	Naive_Resting_Donor4	TEM_act2_Resting_Donor4	TCM_Resting_Donor4	Treg_Resting_Donor4	TEM_act_Resting_Donor4	Th2_Resting_Donor4	Th1_Resting_Donor4	TCM_2_Donor4	Naive_2_Donor4	Treg_2_Donor4	TCM/TEM_2_Donor4	Th1_2_Donor4	TEM_act2_2_Donor4	Naive_5_Donor4	Treg_5_Donor4	TCM_5_Donor4	Th1_5_Donor4	TCM/TEM_5_Donor4	TEM_act2_5_Donor4	Th17_5_Donor4	TCM_15_Donor4	TCM/TEM_15_Donor4	Th17_15_Donor4	Th2_15_Donor4	Naive_15_Donor4	Treg_15_Donor4	Th1_15_Donor4	TEM_act_15_Donor4	TEM_act2_15_Donor4
ADNP	6.16168148244709	5.98204049798839	6.08805358012455	5.95941458669633	6.2675409882062	6.15499087464294	5.83992045015296	5.95880379674432	6.15764156270043	5.91175543755512	5.31912071185051	6.20595239585959	5.79453964818964	6.63769824417695	5.98085734716709	4.75445528603488	5.93047013501137	5.90956312296993	5.9041944076994	5.73407742114345	5.85385599531653	5.47100684717212	5.83369381007091	5.91613799333472	5.32586022914824	5.86358609605981	6.3236651838528	6.14712069068198	5.67537797977772	5.92747533031799	5.8400042140596	6.51590412068383	6.00723887850167	5.82183140193965	5.84355708227891	6.23746006466156	5.82022806680343	5.91379143228452	5.80243417637922	5.80445268357588	5.8298281703627	5.92434427565404	6.03101256973945	6.23657353177816	6.17183700658294	6.05991901273105	6.13526989845045	5.63987578700934	6.34484299923757	5.79391164474326	6.40579904793387	5.96973109698182	5.86175828680873	5.87440340687396	6.00305359272989	5.76162285456955	5.7577381973352	5.81493494596171	5.94247775023282	5.79892029939451	6.23214977465026	6.00213160127899	6.08286263335047	6.77281689391342	6.06760202228533	5.95070797350029	5.93872492862501	5.80394522126666	5.95907079423104	5.84977599143725	6.22852152402743	6.15612549985033	5.75519187142393	5.66051280985484	6.08631051269225	6.16131314557896	5.80312767372998	6.16088128194306	6.27457801793691	5.61605874503212	6.39220670332919	5.94960833318774	5.82165498360537	5.71340448486943	5.74513933284263	5.68494054397744	5.64437081583735	5.98390014852678	5.78209731729717	6.05839005247503	5.64714676385987	6.30406787468667	6.01646021517668	5.88988738464837	5.7652462773243	5.84167123834167	6.13585782315582	6.14237748869861	6.09455913412442	5.76536012405771	5.9647839490328	6.14841636741714	6.1609401226513	6.07735300243986	6.23681118797823	5.99697923124738	6.22059155802966	6.0414125675905	6.38342212767729	6.2046652188961	6.12286173385265	6.17821511338818	6.24467470050146	5.37326833530773	5.8323335867929	5.96284906741034	5.96495140467516	6.08812693544114	5.92692252476497	5.0343357097163	5.80230922617534	6.29905209977781	6.1944104090978	5.72336966025075	5.91509380237158	6.70550762842251	6.34556391211466	6.09560558179023	6.03568982146902	5.7204074834743
ADNP2	3.28524851525927	3.07700779440132	3.24478683759796	3.32665968762886	3.30721484994936	3.10232553805595	3.30416181381675	3.1366271223622	5.15356130971992	4.9936900914137	4.72141977720087	4.02121790966294	5.70626172247628	3.82515800414395	3.50296334108231	4.72030889257703	3.42265083900695	3.44096606370523	3.39859385385832	3.46373561218149	3.62058107082601	3.75856661494001	3.37618744322471	3.66709785794023	3.05700767074356	4.72454758214346	5.04736318234506	4.75055803666557	4.734054103778	3.45394761319677	4.06382313282172	4.13196052397286	4.55323928494206	3.3851647365205	3.03626624030905	3.22953210463849	3.19954501509679	3.02916082391613	3.34351863165857	3.15883727173481	3.02699825228673	3.15678969030211	3.89229574644453	5.16390969886708	5.53199156553965	4.31829004067717	3.73430295631688	3.23786351159108	4.12476666107713	3.18235179921462	3.04137035519752	3.43783774170199	3.3312317449649	3.30427820730358	3.69772596216726	3.52664586352643	3.45368242739389	3.68941173886104	3.12054274015143	3.65187198429078	4.50108789766571	4.72480465484587	4.91307910037312	6.41268550187977	3.80947258950589	3.98415679797168	2.8340299134441	3.08236526440633	4.41157421678206	2.97780182192646	3.22376005096127	3.08161611517202	3.12197277045182	3.33797681784252	3.14457093840826	3.35405099797056	3.31585081249181	5.29028742221907	5.45288597333226	4.40416537845252	3.91587380568712	3.49124109376417	3.37717613425775	3.53042121278367	3.49963659247093	3.32603921729733	3.54219415571071	3.9073001863928	3.60132148318702	3.32655368019056	3.54521204211986	4.988492778867	4.96168991116682	5.15285354653616	3.82314178903113	3.67284368566723	5.23766057423113	4.62263123858725	3.7458569715302	3.92656034197214	3.23901243873148	3.00217636956426	3.45099821557543	3.18504755471465	2.68901721996581	3.20394271458062	2.92615668100655	3.20257801830246	5.20258316446366	5.31895131216658	4.42952294779054	4.59218266686767	3.77715650767201	3.51728878142489	3.4053060906155	3.37307835408964	3.4763296454487	3.68997258293763	3.55607651843609	3.47198760301386	3.40592690183297	5.00195198190878	4.49634476815358	4.32459262514561	2.92672751664748	4.96753249048386	3.65797793472469	5.12753166963647	3.15984364984427	3.14196163931443
AEBP1	-0.353539829552486	-0.612197991348547	-0.536072478075365	-0.69303287358196	-0.499804986982341	-0.611615316950159	-0.66040474130944	-0.414692268421073	-0.370823069392923	-0.497774945352961	-0.637020530798849	-0.450959789147269	-0.673882881867404	-0.518766736066617	-0.707509206678356	-0.741094820710103	-0.263607102487853	-0.458571372277168	-0.552271034446106	-0.451866534942177	-0.334686203663561	-0.790770684272526	-0.736616417497949	-0.567460794491184	-0.496660911369797	-0.516086045717471	-0.512307319229524	-0.585908701502101	-0.683903947281798	-0.556234983556406	-0.616605555656233	-0.522408473628952	-0.509354136568219	-0.525660808839161	-0.569482649675085	-0.334151451147481	-0.605608186592159	-0.619893074503203	-0.554255931087474	-0.532303145496366	-0.584781070993238	-0.546179953765033	-0.527094444498837	-0.250094545983122	-0.475636222893621	-0.572492652311755	-0.671666011403341	-0.267428014511174	-0.724220132768511	-0.528845419130955	-0.811860181922248	-0.00298348792493622	-0.4551350342839	-0.400522696278527	-0.609696207496789	-0.554119143609536	-0.70760474222542	-0.709267949395743	-0.732435704405842	-0.639996893093519	-0.260449345424082	-0.528212251416675	-0.615836342340658	-0.762496204517531	-0.692378986306316	-0.771434754297972	-0.676104707549146	-0.49602211306031	-0.664188877905093	-0.591694497382744	-0.299170060097487	-0.415408006013413	-0.551312739145814	-0.497414820937945	-0.69107670973699	-0.75240522779418	-0.892380011409488	-0.333151965083944	-0.335171152928136	-0.464189960208084	-0.540370400013815	-0.479442235259885	-0.0822543509188899	-0.631480377610212	-0.439742081175175	-0.292149289381887	-0.664429518656071	-0.501112381312966	-0.454716982319639	-0.529439195616002	-0.5871957777506	-0.300200024156252	-0.512545101667931	-0.632056052922646	-0.712419143822715	-0.557496556254328	-0.312305064802505	-0.556952722509201	-0.518539906621266	-0.615825189008919	-0.56293759240294	-0.33642837997437	-0.627807254701174	-0.497309231206242	-0.606140684988156	-0.582191785014814	-0.527928349537529	-0.537655457059678	-0.312636559196058	-0.648542802617292	-0.598433043466402	-0.521162223567227	-0.553725598975634	-0.353145926625418	-0.186757256876372	-0.610380619937016	-0.130748101105812	-0.721975374865424	-0.300330677911943	-0.880405963445021	-0.628153999656275	-0.344112075479132	-0.513607989720581	-0.611003051294384	-0.380459702222557	-0.642375470875326	-0.527152473112381	-0.552018243120649	-0.640501419254629	-0.694840489957944
AEBP2	-6.34913549661395	-6.4366112549221	-6.43324896416657	-6.03560695821435	-6.22057525320012	-6.43967204444227	-6.19513471114542	-6.31390685429759	-6.25130864470207	-6.05977336916708	-6.30467534203965	-6.38200724237432	-6.06750847336128	-6.74744653386658	-6.38932477027306	-6.01442575537149	-6.42254454145159	-6.48535053785108	-6.45648441051645	-6.28665635261749	-6.2497388889696	-6.08848036808826	-6.02790538776298	-6.33246073558503	-5.97645544350628	-6.65812481647049	-7.06212925016358	-7.0617762791874	-7.24173876644307	-5.9354153670502	-6.27356412458837	-7.31683965858696	-7.31289453063629	-6.02929482650745	-6.2802764933494	-6.45951696758695	-6.49081047201289	-6.29293239676572	-6.30357199249228	-6.31893323725345	-6.35050181678379	-6.43565577238519	-6.00533275711248	-6.38382195994013	-6.37903163265716	-6.46738874850965	-6.33681368393238	-5.96080346098997	-6.22807194390627	-5.79066436658754	-6.03133217059065	-6.4954612617343	-6.47621566088003	-6.36753882386799	-6.2364064966715	-6.52106902162462	-6.34117359303333	-6.29133614495578	-5.92152499188259	-6.61421794760686	-7.1669729000652	-6.96324939165915	-7.02139942688298	-6.23864400624762	-6.33127226817109	-6.38766653715321	-6.24768727081639	-6.36781806719508	-7.21082700496533	-6.37440123405701	-6.48796963897959	-6.37500074782876	-6.30683001195238	-6.50845985415706	-6.20530257271558	-6.27414250167366	-6.07023252916096	-6.38914858478408	-6.41486737708397	-6.26396070997817	-6.62779033244553	-6.62433983206124	-6.57928199376935	-6.35812405710497	-6.50970501177776	-6.39727498601789	-6.28077275410872	-6.20652628285137	-5.90296370921509	-6.44758563887285	-6.62456416764671	-7.21370477308768	-6.84693796864429	-6.13702677522371	-6.24145549735839	-7.27793430926532	-7.60112941932994	-6.41110112771855	-6.2434738494185	-6.53677218057534	-6.26048567653705	-6.29289200422585	-6.17054084371488	-6.42369708361398	-6.25108692779464	-6.30408793654126	-6.27083225217362	-6.37869274698183	-6.44752856772167	-6.2461312532658	-6.59043538048979	-6.17311321240995	-6.31570982867006	-6.08736521830809	-6.28181701465657	-6.60848797843542	-6.52019922927039	-6.26355301823069	-6.26718552173673	-5.54995611729501	-6.12624397135938	-7.31231483456748	-6.84795914926071	-5.97595053891065	-5.99076900475401	-6.37148012784731	-7.48043593548611	-7.08640869564976	-5.97502039299455	-6.3664448744585
AHCTF1	-1.99078456700406	-1.91591635021448	-1.64190927584522	-1.94862748254226	-1.81800303638913	-1.88685525526999	-1.72154519350473	-1.90616093220871	-2.30404074834207	-2.43301643708437	-1.8203791887514	-2.00955590184945	-2.49087822955063	-2.72177656447866	-2.20548427749562	-2.1595619323556	-2.2142605269131	-2.17808638275772	-2.09135791124684	-2.01349198661661	-2.08886818656706	-2.16415510450167	-2.32913985274003	-2.31552915900253	-1.77619012323891	-2.2660486412978	-2.1686738325292	-2.18088522671347	-2.29144713810429	-2.06606476128894	-2.10013976947776	-2.10912402368275	-2.54660116725564	-2.36578702764421	-1.86493327082456	-2.0376717199321	-2.04349787266583	-2.06039333415322	-2.05697443762147	-1.96032007268949	-2.17487862760662	-2.04439030725113	-2.50672971547045	-2.39997642230474	-2.66716009698862	-2.43912756306276	-2.29048342688128	-1.59529892387646	-2.22841750020225	-2.17345636129976	-1.97434649912045	-2.14668941640476	-2.2100530018385	-2.40663027554613	-1.73586271768093	-2.06483728353493	-2.10713703248206	-2.113769249472	-2.5111902904247	-2.11888508435222	-2.23985410985617	-2.36111448378052	-2.42340956742928	-2.04502456103606	-2.54719613237492	-2.63673081838578	-2.5310401238261	-2.60268538807047	-2.51807649718847	-1.86553238550965	-1.89250621326551	-1.90476927453552	-2.04697771492346	-1.76926724448424	-2.08948900173943	-1.88228958542851	-1.66830032424384	-2.61785532515947	-2.61189281949489	-2.38133776520479	-2.08211011708632	-2.56593634511138	-2.13666278262212	-2.0339810018924	-2.03603804132957	-2.44770987133995	-1.88584848076965	-1.98030203805588	-1.87216940494411	-2.01958813068077	-2.0414978489962	-2.00461704559026	-2.27284671345339	-2.65267004005209	-2.85730713926227	-2.19941130271194	-2.24971469025612	-2.09875915138032	-2.49797179896822	-3.23384651861539	-1.82941861098106	-2.06240844089244	-2.050651828554	-1.81642033182521	-1.90435568670229	-1.99800854706836	-1.85678634063878	-1.94577309200092	-2.35835753905218	-2.71921496792637	-2.45783051796073	-2.47570300122712	-2.27178963744982	-2.0097094381359	-2.40505255073638	-2.11612804219715	-2.12199078652534	-1.94615251479564	-2.1431196904777	-2.09312346427002	-2.11033896623553	-2.07970204503289	-2.18622100000813	-2.12196708108698	-3.03288441615526	-2.11918870477525	-2.22356556010108	-2.34085105658074	-2.97224743357716	-1.93897781779491
AHDC1	4.82402434754034	4.75806601926072	4.93756840738144	5.05831083675737	4.92701149858201	4.97796170152188	4.8697049443812	4.9391105644681	4.66075529672547	4.61821924844755	4.252847775025	4.71295793311984	4.63262570979115	4.81596065844633	4.8242188854422	4.5380212558886	4.74934585583573	4.8675774051932	4.8566110700717	4.75313416394826	4.89667966400915	4.886879188349	4.99941452836788	5.02543603064211	4.98399264024506	4.93830043742473	5.00920117757427	5.02687792565707	4.95284234045029	5.09854900408682	4.81072169529075	4.83007026075067	5.05147277461386	5.04840445106763	4.77189963731691	4.99387092623947	4.65084898089816	4.84105372237595	4.81034479091672	4.78246857122962	4.82633461827034	5.00990178892632	4.65619147487866	4.59075124031222	4.7160781574481	4.74923169052376	4.79654946426814	4.32484805870945	4.75118278274896	4.10225513223181	4.65186311655844	4.83889717296353	4.85605481737883	5.00541797282558	5.0136898041644	4.82918292207065	4.71071813212053	4.91456703290564	3.99042760386419	4.842294363995	5.06242842841841	4.96866732246539	5.01547890589349	4.75532929737464	5.1181839817143	5.1136291227106	5.00922928255659	4.96147918698335	5.0934676524617	4.94022319161582	4.88005783511422	4.96644027298771	4.83173878387051	4.94975648572494	4.98963600267369	5.01957754413039	4.62054028164704	4.51674999037039	4.74074765410634	4.786270938514	4.82274750340105	4.65327925972568	4.81838882258335	4.93582632540287	4.75554019091032	5.04570015498121	4.73570292172644	4.33250138727255	4.93261022804614	4.8368012886186	5.35024880050241	5.06696753921541	5.09023086089825	4.89887580872012	5.06899237829847	5.02854397699415	4.86701314456226	5.29629834967297	4.94259580939195	4.88323997819058	4.77165768355514	4.9461367546261	5.08045461731025	4.86403869794004	5.01450504999576	5.13200868120136	4.96960583194249	4.99902617590915	4.62546335095567	4.75805069732056	4.65009141669002	4.65656190135471	4.82138922917116	4.56469513525114	4.79937844276699	4.86827267472499	4.83109803246139	4.67369425329449	4.88648705735042	4.54608849299947	4.83917908557904	4.97645497523489	5.10836312996369	4.90331321230012	4.85772650884721	4.92108383107374	5.04456823816155	5.04411312420765	4.89217756703996	4.26344117277338
AHR	2.77698216328105	2.86497698672837	2.83000147621639	3.00722901950539	2.74389449184976	2.92845771362649	2.6989475138833	2.79290391904962	3.18740120582115	2.97610250064215	2.61555196800715	3.31707394150818	2.80081368109655	2.61123384156343	2.83615611833666	2.75902533202389	2.87211324513107	2.95960562241881	3.02724431492356	2.83470235915823	2.7975484492785	2.77387908148448	2.93250845765654	2.8478947923896	2.58998780911735	2.78714718092539	2.88863106539523	2.88084566101156	2.91598509536059	2.77405545961709	2.90115693188787	2.84393671729026	2.89231348284425	2.81198883168451	2.61654307570782	2.88825511070752	2.77397254325955	2.79396901883098	2.79859202345158	2.86722794014024	2.7737172091167	2.88158117178564	2.99315891389543	3.24470539611827	2.94775621986312	3.26640907724651	2.55547315294821	2.56162815823447	2.63112558716186	2.59336471073172	2.78111811363633	2.91209668392602	2.92115923115804	2.78346073235008	2.91672545694064	2.88020414703115	2.79689037959837	2.79686931701344	2.87103592328661	3.00992507551938	2.89490536905437	2.78342900872974	2.92506048198134	2.69344327846601	2.83023804936436	2.72035600146951	3.00125464448174	2.89579429557144	2.88583809576296	2.71263452470993	2.88386677208484	2.78165353538418	3.00604190039505	2.85948478776047	2.82780536262431	2.78795018056043	2.80209406954302	3.15713970211302	2.74265108403561	2.74131962168954	2.64629601835614	2.96067129842732	2.9070944987216	2.7824200579009	2.87116821148707	2.88289035274379	2.93882670853406	2.84605262167893	2.78919840537068	2.94156957626191	2.74472869318373	2.88797351396769	2.91101063177901	2.76234598585009	2.98767481965129	2.76139151089435	2.78740717781543	2.66455507459716	2.89902406395431	2.8898375480157	2.82669797697025	2.83960777605461	2.81537213542243	2.94884001241979	2.84284433659778	2.94050882603143	2.81938743809343	2.62479913026993	3.23160343982076	3.03248877072591	3.07860694748611	3.24355574483903	2.8556994068515	2.56752982293799	2.8622895657937	2.94326511080001	2.89634441986508	2.79856140420846	2.89504533862609	2.81948891558952	2.82829274140959	2.85480807580219	2.8686740905151	2.8747859679726	3.03213360631392	2.80540791066134	2.92424166174826	2.82670923448355	2.90152884263536	2.64384066703391
AKAP8	5.65240929893687	5.8910163117413	5.6371553328491	5.69865626519743	5.93195752351774	5.44201243025634	5.6665308986413	5.85754403473205	5.85936256702967	5.68976923078487	5.42795936419369	5.88662954416923	5.91297154585404	5.68231533965181	5.6206086051648	5.56445979793863	6.80339602423177	6.87885196916656	7.72521638351095	6.71100053906164	4.45643286175955	4.47784578397997	5.10564642130611	7.46845672886879	5.45410773433042	5.86938460528888	5.79316469883916	5.89216416315856	5.71386473960128	5.69796511613153	6.18565117694289	5.90661049639284	5.9680317843944	5.70123234883334	5.59626957746504	5.57614467173763	5.6463778987103	5.6419208005579	5.8106459212199	5.7862934707129	5.86292420228504	5.79886394003056	5.78067156881533	5.85799539741727	5.64776610155245	5.93291931422932	5.69817310426823	5.33052272384483	5.82551514568214	5.86021510329934	5.96240675444102	6.59247582314382	3.58481089274314	7.15334485159692	4.59643662771687	6.5148961732675	7.70291691725026	7.16214226233282	4.86636910343842	5.42486025662238	5.81039239037629	5.95527129847502	5.85551896908874	5.81095209620487	5.98316550634222	5.66870464254877	5.93736911912664	5.86904264669502	5.9344172338662	5.45710958680265	5.69336730600068	5.7038157085924	5.78599969471987	5.68475189650196	5.61441068252875	5.71192204631258	5.43065482718782	5.87820250671506	5.71584319981972	5.92929837029249	5.56467496986275	5.66471144590385	6.72498393633283	6.93039149709947	7.23292123046118	6.53520897668263	5.60608508967542	5.00721020179119	4.7450325353042	8.20370814164895	5.43642401269571	5.92120042174949	6.04480825219126	5.61942854971259	5.78356520207821	6.00480592020988	5.98000019544352	6.28291982602279	5.85521684956507	5.96682980101847	5.55527481610181	5.4309564470207	5.95850693350163	5.51871434658296	5.24170651843411	5.8658393519428	6.07902714423265	5.33124072087664	5.84869321389911	5.69495561459579	5.96622780840723	5.77915546165897	5.97995787353875	5.25852471936158	3.55817132715179	7.81825729554705	6.78762766004373	4.11252565107726	6.79664852868982	4.9359558065145	8.7058949165506	5.77106034395371	5.65977716157352	5.66759773326672	5.26127961146299	5.98795081376704	5.81941597624043	5.88645358446921	5.62610457118682	5.60682081451587
AKAP8L	4.57467597166981	4.64233344898752	4.5834142415426	4.51932172327452	4.71043138754819	4.49635873571516	4.29641633371185	4.53549122612243	3.94776919422044	3.81308131550087	3.58772403745343	4.04205139840749	4.17562198879936	3.95141637882889	4.16165377835116	4.13929740176617	4.18346704838871	4.15195673722057	4.09720268071741	4.2053459598301	4.33190630720608	4.2177105556848	4.00330592076651	4.30473367479823	3.58104279386012	4.29585383317678	4.14668238332362	4.30782391425174	4.36253970668668	4.26324894184187	4.37960857314359	4.44104302109117	4.34684441282932	4.22983143007662	4.53308215679386	4.63227477792663	4.44703582784062	4.19658346113434	4.47253740547202	4.48969658658101	4.42276499281224	4.55713686823833	4.06394194937295	4.16171363784407	4.29282509884604	4.15694450091897	4.1549792367908	4.41365527448086	4.08140418611946	4.29827924848245	4.59755712284422	4.22028389978562	4.23466259421168	4.47443718389949	4.30641562260305	4.26011818147555	4.35032032084896	4.28830923775401	4.2239303176128	3.98326780473629	4.34288272899988	4.26586387618688	4.27133980057645	4.50726983535591	4.2244643211978	4.29002199090834	4.12816423530771	4.31680518947083	4.27830507999961	4.64641469861954	4.62895591534199	4.62697774971345	4.52668571262359	4.16577834952315	4.43585621912764	4.69799786294173	4.38703629793122	4.207332264855	4.19206473211205	3.99414746066806	4.14175962110399	3.99172272541882	4.22255572564572	4.25397076176805	4.19810336631365	4.33558832378386	3.58259170979757	4.12244250212327	4.02916225721878	4.26578387741868	3.7125424240073	4.40235282789611	4.36068595674917	4.36384462367255	4.24462802841069	4.30727086489572	4.36565176861683	3.72654920409764	4.43690985740092	4.03631131550818	4.41340696651998	4.65901463017657	4.41405079206091	4.47080038492155	4.45129998909914	4.52114489109607	4.57195511474207	4.33671332586443	4.10068940735947	4.21891875740192	4.18835226821365	3.98325127851724	4.05406759539855	2.92403173077292	4.27919472361277	4.34954381637941	4.25322381645897	4.14050113347028	4.27854203640298	4.23038231632619	4.09840363946018	4.30167321615373	4.31423891188475	4.16788732861042	4.44323550903394	4.41578945493174	4.37340962768717	4.15725368569936	4.35719417987368	4.41819974921444
ARHGAP35	-1.70556646236468	-1.39987875644775	-1.40471718088249	-1.18441866118792	-1.17964315356431	-1.1350952005956	-0.881306291404359	-1.19101453599189	-1.57623635295158	-1.65371064796514	-2.51053816516343	-1.5902133245257	-1.64028833968785	-1.40996188006843	-1.94867707383754	-2.10273816358971	-2.04905803117352	-2.17757606752771	-1.8479238210429	-1.79774835393178	-1.7008156505052	-2.30947292852921	-1.12821546530011	-1.79562124516545	-2.60166726415832	-1.97698431516228	-2.01218716621232	-1.95658709363812	-2.09891108064727	-1.69691967133158	-2.28642411016363	-1.72131275988111	-1.81280882333964	-1.91373342647139	-1.12826126899749	-1.48131311438585	-1.12167351157708	-1.63196738601642	-1.40693473910137	-1.46677656227934	-1.47947592965384	-1.39364487046306	-1.82220051335535	-1.75235803911997	-1.43605671045174	-1.5951389354694	-1.37314319368282	-1.82876013887438	-1.70592512200246	-1.32434881827075	-1.43961892972555	-1.98396445485434	-1.74331199933741	-1.6315951736652	-2.03669125292638	-1.99006748879413	-1.72353193072608	-1.9921660077305	-2.28939710910858	-1.55184483490605	-2.06391285116496	-1.87570836067159	-2.17307544712017	-1.85082271995023	-1.85069962461546	-1.95862027891246	-1.88258130037441	-2.3145160470095	-2.1327144187992	-1.04925475547285	-1.63752685986678	-1.23299415790893	-1.25241533861333	-1.54018245529242	-1.21451764865706	-0.214185716481988	-1.50833776433855	-1.6886912778037	-1.53007225905413	-1.64644525352159	-1.80670404803959	-1.6614170160009	-1.89580215498185	-1.8725383040151	-1.88044859910519	-1.88414628636467	-2.1007019826603	-1.8715434089304	-1.87350265526467	-1.85060170839771	-1.64560418761187	-1.89008436804275	-1.81961622919926	-2.11009311830002	-1.92162627044126	-2.01059969490498	-1.78693618138132	-1.27139738609659	-1.96204192108999	-2.1384096224845	-1.31701115771925	-1.56476651619693	-0.786891292386996	-1.24155402994517	-1.30790849757313	-0.848493614212673	-0.765703904682737	-1.29941868172444	-1.58916927074338	-1.61014812865133	-1.54401605057524	-1.66978096632458	-1.86268479573147	-2.38408194791769	-1.61454346789697	-1.94026591235504	-1.84633629010866	-2.02936728639787	-1.90499191274501	-1.58099485765158	-2.21321108801464	-1.80216543667474	-2.14479554177696	-2.00511390219625	-1.67960473649301	-1.8379143185581	-2.12713099153738	-1.91795082047806	-2.3092696532267	-1.83158160424764
